NCBI.gene..formerly.Entrezgene..ID,gene_symbol,Individual_1,Individual_2,Individual_3,Individual_4,Individual_5,Individual_6,Individual_7,Individual_8,Individual_9,Individual_10,Individual_11,Individual_12,Individual_13,Individual_14,Individual_15,Individual_16,Individual_17,Individual_18,Individual_19,Individual_20,Individual_21,Individual_22,Individual_23,Individual_24,Individual_25,Individual_26,Individual_27,Individual_28,Individual_29,Individual_30,Individual_31,Individual_32,Individual_33,Individual_34,Individual_35,Individual_36,Individual_37,Individual_38,Individual_39,Individual_40,Individual_41,Individual_42,Individual_43,Individual_44,Individual_45,Individual_46,Individual_47,Individual_48,Individual_49,Individual_50,Individual_51,Individual_52,Individual_53,Individual_54,Individual_55,Individual_56,Individual_57,Individual_58,Individual_59,Individual_60,Individual_61,Individual_62,Individual_63,Individual_64,Individual_65,Individual_66,Individual_67,Individual_68,Individual_69,Individual_70,Individual_71,Individual_72,Individual_73,Individual_74,Individual_75,Individual_76,Individual_77,Individual_78,Individual_79,Individual_80,Individual_81,Individual_82,Individual_83,Individual_84,Individual_85,Individual_86,Individual_87,Individual_88,Individual_89,Individual_90,Individual_91,Individual_92,Individual_93,Individual_94,Individual_95,Individual_96,Individual_97,Individual_98,Individual_99,Individual_100
2729,GCLC,-0.024234882,0.004555403,-0.037915166,-0.022061967,-0.015299464,0.019584776,0.036629002,-0.027706982,-0.000242232,-0.019427798,-0.002263687,0.032571076,0.048315427,-0.037208271,0.068685098,0.036331347,-0.016372705,-0.050104186,-0.030304298,-0.023750558,0.066236129,0.075600602,0.01060311,-0.002444527,-0.026045804,-0.022809838,0.015103842,-0.015427311,-0.011613127,0.002736726,-0.010088458,0.009156206,-0.002606733,0.019000135,-0.014283128,-0.055788823,-0.021555791,-0.016109173,-0.020405509,0.007607644,0.091857368,0.04265823,-0.033816856,-0.042513391,-0.065564802,-0.000410054,0.012851023,0.021069259,0.00300387,-0.020169048,0.024846098,-0.039712519,0.026896098,-0.042233097,0.013036341,0.029206615,-0.039707079,0.064677069,-0.039704831,-0.005792657,0.011513357,-0.052069749,-0.000149881,-0.01926813,0.00157622,0.027943293,-0.027025534,-0.015341943,-0.005680673,0.112118304,0.012154936,-0.028555527,-0.006121626,-0.019234002,-0.035293933,-0.042849945,-0.029462607,0.015631448,-0.066746212,-0.026871013,-0.009515624,-0.028285203,0.005711961,-0.025023756,-0.069096219,-0.046559966,0.075447482,-0.113502462,-0.059211366,0.023122611,-0.030150619,-0.024835667,0.059283066,0.000293071,0.005887556,0.013655784,-0.039869759,-0.050509004,-0.006348956,-5.75E-05
9957,HS3ST1,0.011568294,0.026352147,-0.011524088,-0.013778968,0.053934943,-0.014061074,-0.062062061,-0.100107836,-0.014704728,-0.007865603,0.082153687,-0.017311082,-0.01628685,-0.054426276,0.003286619,0.045095678,-0.04653244,0.072731697,-0.074904711,-0.005372382,-0.010244226,0.013401629,-0.01310949,0.053124564,-0.016890764,0.04263213,-0.032472369,-0.001632424,-0.020048104,-0.082570848,0.08184843,0.066693652,-0.01758704,0.008170495,0.028374492,0.057223014,-0.026549152,-0.075812457,-0.034168303,0.022396115,0.02136226,0.005513056,-0.033371496,-0.017619854,0.002838814,-0.039917203,0.03160927,0.042839317,0.021976154,-0.012116565,0.002722955,-0.008075886,-0.096804462,0.073299446,-0.030012256,-0.021069857,0.040325152,-0.00773038,0.041214643,0.114349504,-0.049234822,-0.055724619,0.024897628,-0.096083923,0.016710818,-0.006690242,0.001998307,-0.037736702,0.076876787,-0.017440448,0.025206673,0.013473196,-0.060567504,0.014703299,-0.02297407,0.084201,-0.05794749,0.018099953,0.046046008,-0.02309504,-0.037057189,-0.012564115,0.017992966,0.015303061,0.014613691,0.000134809,-0.041882809,0.03361598,-0.115988089,-0.015786603,0.056866732,-0.011448685,-0.03255274,-0.045077835,0.034074156,0.110295482,0.001952888,0.018592719,-0.027432693,0.08644803
26,AOC1,0.051277409,0.00770294,-0.053126925,-0.181557008,-0.024956386,0.110251718,-0.067180695,-0.09077375,-0.04493619,-0.007253524,0.124765842,-0.178905906,-0.092870732,0.122749043,0.200332223,0.005788793,0.10854988,0.144778425,0.170501095,0.092836067,0.050202624,-0.026676214,0.06497613,-0.062240598,0.06568467,0.066009441,0.043501071,0.018585784,0.193929469,-0.073557026,0.039677641,0.148982207,0.042024083,-0.192186554,0.124013619,0.005435603,0.032586142,-0.09346905,-0.064183888,-0.033129506,-0.01965283,0.130032766,0.120187994,0.10211928,-0.002384028,-0.085086079,-0.081657216,0.05237656,-0.030025832,-0.02523579,-0.01307592,-0.014293223,0.056881368,-0.073873636,-0.031180917,0.034337,0.068206513,0.109630705,0.172859813,-0.092198269,0.061070556,-0.062057533,0.007261164,0.14436649,-0.158180379,0.080215275,0.179726977,0.184027005,-0.029500372,0.121785264,-0.040143068,0.024715129,-0.078525586,-0.037872965,-0.052313137,-0.051954499,-0.087390589,0.108970643,0.04961596,0.016580039,0.154384234,0.20742931,0.137632603,0.117006709,0.023782438,-0.000838178,-0.177043733,-0.028436081,-0.0143462,0.021612365,-0.114587072,-0.089138864,0.03467891,-0.027058335,0.14685278,-0.078234401,-0.024780367,0.06354542,-0.009743824,-0.063066543
952,CD38,-0.138681215,0.143375494,0.040202031,0.008117047,-0.066274732,0.079684479,-0.074059702,0.037395414,0.144438673,-0.006669777,-0.020228045,0.018463296,0.104086836,0.013547001,-0.136325625,-0.051581674,-0.099994913,-0.06426637,0.065219676,0.137934238,0.084181639,0.1112468,0.104189266,-0.032798919,0.201620773,-0.058649186,-0.021171136,0.099676055,0.018420106,-0.043625651,0.017129754,-0.026823587,0.013150853,-0.122213821,0.038897643,0.022241314,0.002470641,-0.068443036,0.00185744,0.046866822,0.096651637,0.161830146,-0.036262456,0.09253986,0.0312539,0.069733216,-0.06048247,0.007949072,0.145987448,-0.019211456,0.060410153,-0.176328542,0.014798072,-0.198569976,0.079355783,-0.190937757,0.012415767,0.078783424,0.04717131,-0.049196981,0.036094202,0.140426138,0.108869666,-0.024954736,-0.058875338,0.017880122,0.090896018,0.03633668,0.127073738,0.035750536,-0.149686064,0.031862353,0.118148149,-0.003990779,0.102422198,0.109433303,0.104169311,0.199268682,0.161318234,-0.02319472,-0.023914416,0.019341803,-0.003513739,-0.036215765,-0.138697142,-0.045157738,0.037770637,-0.152099676,-0.182491649,0.064000795,0.074563401,-0.0027655,-0.024894144,-0.0523164,0.121206819,-0.054562505,0.009012038,0.030519534,0.079911022,0.005391991
6296,ACSM3,0.007366704,0.0210791,0.019243746,-0.021817853,0.019440924,0.045534627,-0.009070808,-0.050231151,-0.033066165,0.039391005,0.034799885,-0.028378662,-0.007407681,-0.059314002,0.071556214,-0.034981953,-0.020804573,0.109728033,0.053710796,0.004067222,-0.051297634,-0.003097673,-0.013776292,-0.029174437,-0.052324864,-0.025137207,-0.001134853,0.012338845,-0.012891049,-0.052424857,-0.067159499,0.041624583,-0.066144195,-0.027191137,-0.038549013,0.003723713,-0.017071592,-0.045749158,0.040760606,0.010150958,-0.041430818,-0.077663274,-0.058736473,-0.067748282,0.057189798,-0.103685475,-0.065187283,-0.035613411,-0.026321049,0.013805017,-0.019642399,0.006074886,0.056121618,-0.054206479,0.065965287,0.049257807,0.03926057,0.00980514,0.034509651,-0.017771007,-0.061740744,-0.057431498,-0.035563289,-3.61E-07,0.091643185,-0.099112771,0.009571315,-0.071731258,0.020242516,0.047697005,-0.028121232,0.004656808,-0.020684346,0.006614886,0.008376327,0.094675593,0.086611899,-0.033428985,-0.073500394,-0.031530693,0.04825865,0.087943073,-0.015652782,-0.029668446,-0.019100311,0.003208324,0.105543599,-0.02655261,0.033871327,0.073663901,0.0288612,-0.076147785,-0.106071283,-0.035532937,-0.052961837,0.033284933,-0.040693468,0.042985705,-0.016233862,-0.066220422
5244,ABCB4,-0.003466369,0.053379913,0.045167379,0.002091926,0.049999351,-0.017646631,0.065010926,-0.01288856,0.003115434,-0.036168083,-0.020775759,0.044238608,-0.006969191,0.00736466,-0.011097787,0.058921249,-0.020668386,0.130740075,-0.056191614,-0.066803173,-0.066889054,0.035787034,0.010538422,-0.012878477,-0.140752274,0.040624251,0.035535738,-0.05497296,0.030454767,-0.072929644,-0.057249181,-0.049165318,-0.074027111,0.064422241,0.093739159,0.034847575,0.09946328,-0.009104117,-0.1440571,-0.100676869,-0.002173687,-0.085686254,0.081712774,-0.029960505,0.038278444,0.054061257,0.0743653,-0.102653148,-0.100693567,-0.054833242,-0.0140571,-0.0911737,-0.02234846,0.066041728,0.087035849,0.036356317,-0.017306968,0.043619681,0.08093604,-0.028093473,0.050777654,-0.023763865,0.013653279,-0.043496622,0.085643046,-0.053323275,-0.151038323,0.028237655,0.005457125,-0.00129256,-0.013299805,-0.094081763,-0.022185006,-0.080365825,0.056282781,-0.12450118,0.087070945,0.190872215,0.072266591,-0.071163861,-0.009087096,0.010250636,0.013926899,0.067170881,0.10315354,0.048582827,-0.044141135,-0.002719267,0.021161723,0.03459842,-0.052477297,-0.033241286,0.008796212,-0.05370197,0.02883124,0.053003228,-0.030945543,0.130624389,0.029851714,-0.014209358
6833,ABCC8,0.094560516,-0.16888692,0.033720358,-0.150524828,0.086791604,-0.11270353,-0.085838357,-0.132361524,-0.116266062,-0.105904659,-0.005246442,-0.163243689,0.253806,-0.163731443,-0.213081041,-0.095157593,-0.235505285,-0.037022447,0.034431373,0.079454469,0.192172107,-0.084856745,0.162794634,0.067269829,0.054805967,0.194228457,0.083954309,-0.005579237,0.083001021,0.080797972,-0.022366951,-0.02626449,0.03383034,0.137105269,0.119873868,0.155508584,-0.253186621,-0.025574746,0.036628881,0.167939375,-0.061683868,0.146870816,-0.000512809,-0.279529986,-0.23879557,0.047483164,-0.207075121,-0.083463023,-0.018864895,-0.088519366,-0.010468071,0.040944405,-0.042319951,0.031371975,-0.249328749,-0.030683605,-0.073805542,0.029710116,-0.304054947,0.05095967,-0.216130127,0.219273971,-0.073818796,0.137098776,-0.069520496,-0.048307209,0.15574022,-0.030680458,0.114338678,0.145614877,-0.126054833,-0.210640425,0.140566361,0.182064134,-0.002038172,-0.044190733,0.016548126,-0.130786567,-0.011635029,0.139292376,0.162822652,-0.05484212,-0.06447719,0.014743032,-0.119603715,0.097039035,-0.059795187,-0.080529525,0.21895523,-0.151798975,0.162772789,-0.248097346,0.065865481,-0.04221325,0.002336229,0.087344112,-0.165032653,-0.078064674,0.013059055,0.074624048
221,ALDH3B1,0.033155649,-0.007181914,-0.034923351,0.015088189,-0.027108153,0.001606402,0.014552295,-0.056234631,0.023495177,-0.005114898,-0.045330205,-0.067176825,-0.055324394,0.028709998,-0.042410773,0.014398523,0.002303746,0.025019484,0.087641267,-0.083697079,0.028797427,-0.008527169,0.029444438,-0.085565738,0.041208741,-0.046332718,0.052395473,0.002689868,0.074646227,-0.007866265,-0.024292548,0.030741586,0.030896615,0.001110116,0.051329259,0.085158215,-0.000215856,-0.060599544,-0.060003396,-0.010738504,0.019236057,-0.026151633,-0.062991742,-0.016928693,0.020168131,-0.045927234,-0.021596281,0.030209395,0.019612871,0.000952009,-0.015872585,0.090135879,0.13806997,0.004807591,0.024706772,0.023994518,-0.124306311,0.053714644,-0.053031042,-0.004556253,0.002171815,0.029649915,0.036629584,0.008099582,-0.093737034,0.043077484,-0.004494494,0.002735498,0.076129283,-0.035704712,0.012117721,0.067756864,-0.001479166,-0.006829454,0.08057343,-0.047179587,-0.021623031,-0.017340207,-0.010930219,-0.007714844,-0.071026591,-0.095750161,-0.000479713,0.036553497,0.010991077,0.016631145,-0.009282403,-0.026143341,-0.019743993,-0.001367555,-0.012636132,-0.072744745,-0.032463581,-0.045786713,0.06861429,0.041321381,-0.026560722,0.00127362,-0.100410642,0.022595808
4843,NOS2,-0.592664453,0.045997799,-0.517236983,0.00282004,0.394595643,0.048462324,-0.053250494,-0.034448311,0.077192892,-0.358979007,0.212476928,-0.013335941,0.074840827,-0.351327342,-0.127392605,0.168831853,0.21974298,0.127995853,0.049443121,-0.403461583,0.075152006,-0.260613366,-0.080323248,0.10363703,-0.173531195,0.24937938,0.011392557,-0.064955441,0.306337519,0.230676312,0.082529004,0.291488732,0.314718268,-0.135596037,0.342463738,0.181743195,0.218083547,-0.196003736,0.075683003,-0.023665756,0.175444587,-0.138525709,-0.111067759,0.08308014,-0.10065427,0.014353632,0.104726432,0.154264711,0.067399436,-0.197341272,0.016611934,0.03612727,-0.126345942,0.455018431,0.068801375,0.13848098,-0.175042568,0.127565188,0.144504699,-0.323006546,-0.03005227,-0.360925023,-0.489535344,-0.039796699,0.196393261,0.029164842,-0.052104563,0.209681828,-0.224030246,-0.033836665,0.011298568,-0.311918693,0.187877758,0.135274009,0.068764877,0.062285303,0.021423573,-0.204771121,-0.052976544,-0.149055613,-0.086635549,0.1690366,-0.245695226,-0.130480032,-0.193184632,-0.230768653,-0.218056182,-0.119305287,0.226354184,0.130209339,0.088609955,-0.347717262,0.11807361,0.086349904,0.026226124,-0.066838354,0.00874522,0.197623456,-0.214127312,0.032217046
2328,FMO3,-0.051537982,0.081658133,-0.047863179,0.076702417,0.050420524,0.088349327,0.078662523,0.20705459,-0.087448646,-0.032495966,0.126702508,-0.018279634,0.138419542,-0.136156762,-0.256386824,-0.191046854,-0.098814366,0.141531928,0.100594611,0.010045848,-0.032873378,-0.121965485,0.079509753,0.178974228,0.060646918,0.112789332,0.134326565,-0.018132741,-0.091662622,0.244238787,0.05597494,-0.065487064,0.071770733,-0.138174383,-0.103711031,0.112205448,-0.273347994,0.101261343,0.123869794,0.177266622,-0.003237687,0.167383255,0.160810529,-0.231165439,0.063372255,-0.018712265,0.366678156,-0.176591516,0.119674414,0.140655482,0.032319173,-0.147927554,0.308410485,0.102146794,-0.105022198,-0.017545971,0.129827419,-0.157695277,-0.06086258,0.004133137,0.044168018,-0.209590961,0.124613916,0.009890943,0.039779356,-0.15356004,-0.159946152,0.096782695,0.018320085,-0.024140784,0.423370774,-0.022039801,-0.044077711,0.024132343,-0.103163462,0.016169498,-0.005781473,0.153976603,0.279832989,-0.107584407,0.049454223,0.108450094,-0.012807462,-0.016641169,0.023801026,0.131520685,0.074348724,0.177003845,-0.140168493,0.094898666,0.154984817,-0.39322472,0.043011424,-0.023485367,-0.138872484,0.278608008,-0.124075615,-0.227164528,-0.065697081,-0.172441599
