NCBI.gene..formerly.Entrezgene..ID,gene_symbol,Individual_1,Individual_2,Individual_3,Individual_4,Individual_5,Individual_6,Individual_7,Individual_8,Individual_9,Individual_10,Individual_11,Individual_12,Individual_13,Individual_14,Individual_15,Individual_16,Individual_17,Individual_18,Individual_19,Individual_20,Individual_21,Individual_22,Individual_23,Individual_24,Individual_25,Individual_26,Individual_27,Individual_28,Individual_29,Individual_30,Individual_31,Individual_32,Individual_33,Individual_34,Individual_35,Individual_36,Individual_37,Individual_38,Individual_39,Individual_40,Individual_41,Individual_42,Individual_43,Individual_44,Individual_45,Individual_46,Individual_47,Individual_48,Individual_49,Individual_50,Individual_51,Individual_52,Individual_53,Individual_54,Individual_55,Individual_56,Individual_57,Individual_58,Individual_59,Individual_60,Individual_61,Individual_62,Individual_63,Individual_64,Individual_65,Individual_66,Individual_67,Individual_68,Individual_69,Individual_70,Individual_71,Individual_72,Individual_73,Individual_74,Individual_75,Individual_76,Individual_77,Individual_78,Individual_79,Individual_80,Individual_81,Individual_82,Individual_83,Individual_84,Individual_85,Individual_86,Individual_87,Individual_88,Individual_89,Individual_90,Individual_91,Individual_92,Individual_93,Individual_94,Individual_95,Individual_96,Individual_97,Individual_98,Individual_99,Individual_100
2729,GCLC,-0.131102789,-0.026824738,-0.005034859,0.120990136,0.076955383,-0.235536196,0.027668688,0.012476856,-0.023416001,-0.032409429,-0.164795873,0.030314964,-0.092999495,-0.018636316,-0.041951368,0.1682457,-0.101877359,-0.056676156,0.113209495,-0.063408236,-0.022042968,-0.057690999,-0.085337225,-0.123787607,-0.084086106,-0.013827742,-0.037277109,-0.021555334,0.013066143,0.179696256,0.201096653,0.080768544,0.183961274,0.019944922,-0.047363112,-0.080662124,-0.061289292,0.025708417,0.039705553,0.013456137,-0.02884294,0.034724231,0.044036305,-0.013964356,-0.08263758,0.160374783,0.048612699,-0.065305452,0.046093641,0.086571349,-0.073852334,-0.018478146,0.150688524,-0.096129338,-0.09540447,0.042070026,-0.010500508,-0.065402397,0.002823019,-0.001965792,-0.092396385,-0.050536447,-0.000668384,-0.067180332,-0.089545189,0.166449576,0.016851305,0.045228784,0.114139891,-0.091592146,0.029072143,-0.144704571,-0.068426519,0.206531399,0.027746561,0.009986629,0.11244889,-0.130438949,-0.019105315,0.032974209,-0.021092276,-0.152824261,0.150460267,0.03961863,-0.061101691,0.073877269,0.014858999,0.102768125,-0.079874964,0.110578758,0.035332084,-0.000841696,-0.007882879,0.067424545,-0.119955115,0.248624665,0.017463878,-0.015533141,-0.03177953,0.079530276
1080,CFTR,-0.012120745,0.019648254,-0.182615449,0.164249154,-0.108024464,-0.010010188,0.124913827,0.042087428,0.085478374,0.137517937,-0.081398997,0.024164348,0.083270552,0.057105271,-0.13744729,-0.059224229,-0.047746704,-0.026802505,0.109509439,0.098071949,-0.132623279,0.07509878,-0.010652902,-0.140960731,0.239510157,0.116640014,0.000202796,-0.101883576,0.130866367,-0.142194217,-0.027414755,0.115824631,-0.116668269,-0.026961344,-0.020110778,-0.0542886,0.035927421,0.020619736,0.073808638,0.131280932,0.012015463,0.066965186,0.11708541,0.073604872,-0.032369391,-0.067157856,0.049613195,0.06824982,0.094141756,0.066980071,-0.041538653,-0.082020748,0.124696188,0.044733637,0.022616949,-0.090417487,-0.113214916,0.025867775,0.106210882,-0.10739269,-0.156123227,0.083371265,-0.079268791,0.008689533,-0.043495842,-0.115427796,-0.018698823,0.063374055,-0.122990739,0.079579003,0.036220145,-0.022901277,0.021991197,0.070975207,0.14250705,0.000348801,0.061071784,-0.091456606,-0.167936765,-0.100065056,-0.149785738,0.013908798,0.069476981,-0.088390931,0.143916555,0.066000559,0.042022619,0.117041025,0.176636389,0.095410458,0.00589917,0.117124801,0.155275073,-0.198787122,-0.027943914,-0.065709022,-0.072134887,0.05854177,0.066338813,0.02736367
1595,CYP51A1,-0.02753526,0.016526043,-5.92E-05,-0.003274798,0.0253187,0.025954263,-0.019804837,-0.007395156,0.017219669,0.018562763,-0.035777335,0.000435162,0.001897104,0.006855111,0.005407591,-0.027335639,-0.008569876,-0.004007413,0.016327473,-0.017176228,-0.015906459,-0.005664843,-0.00143959,-0.015215629,0.010929928,0.01040242,0.020249522,0.019640279,-0.018788934,-2.89E-05,0.020745544,-0.064155498,0.021262087,0.024369301,0.020727221,-0.020753003,0.006615582,-0.019288839,0.006450764,-0.041190368,-0.014270826,0.008479621,0.008962562,0.037396655,0.008248184,0.010219358,-0.043143295,-0.033356044,0.003369944,0.020583714,0.024876078,-0.032240898,0.00531661,0.04017197,-0.006793468,0.025655133,-0.010602945,-0.006883815,-0.043580689,0.014522401,-0.012033598,-0.00972468,0.029915467,0.00919974,-0.01016365,-0.01602068,-0.018945028,0.016046514,-0.008844625,0.006537623,0.014197417,0.006843475,-0.023812527,0.006530856,-0.025968026,-0.027576326,0.005346563,-0.02055822,0.020715113,0.012188667,0.028868953,0.01980803,-0.004891072,-0.035761221,-0.03763331,-0.040558394,0.005255947,-0.014762399,0.010690752,-0.00915264,0.016869082,-0.024344708,-0.021425183,-0.039621396,-0.060407172,0.008056429,-0.004355855,-0.014487149,0.01638404,0.018799652
51056,LAP3,0.02384054,-0.049957808,-0.031661357,0.069136025,0.008252072,-0.025981178,-0.010583346,0.02535476,0.038570153,-0.058234233,0.025962541,0.05184015,0.039452984,0.015848733,-0.031113884,0.001601666,-0.044607039,0.026577309,0.016769442,0.026087356,0.033186496,-0.007381712,0.048886884,0.044033391,-0.013372285,-0.020570563,-0.052669271,-0.0293316,0.05634359,-0.080876306,0.018151407,0.022010732,-0.027814379,0.002358201,-0.049865269,0.04213223,0.071585854,0.000747484,-0.027775549,0.048777666,0.061070029,0.034452905,0.01852383,0.038407479,0.067368753,0.045593762,-0.046731889,0.04871374,0.008070535,-0.016194671,-0.014614206,-0.041161816,-0.02840786,0.016065438,-0.030731329,-0.126974404,-0.022698697,0.065227377,0.024741125,0.086770915,-0.042287639,-0.016921634,0.06294767,-0.072731956,-0.025994068,0.008875618,0.050243848,0.022208722,-0.097568095,-0.000112684,0.005225318,-0.000688971,0.020823281,-0.013152167,0.02853715,-0.043428109,-0.015670079,0.058524502,-0.022740666,-0.018615241,-0.003349133,0.040296004,-0.040655927,0.036831694,-0.040881905,0.029716495,0.025255732,0.049684549,0.034686197,0.010418282,0.001404695,0.021250137,-0.035117911,0.024074385,-0.084232762,-0.036725847,0.041853869,-0.021920541,-0.027114726,0.061909112
9957,HS3ST1,-0.192322479,0.127401491,0.055544593,-0.007315429,-0.131428807,0.00361957,0.035485961,-0.111626962,0.04253029,0.289822179,0.141700398,0.025085324,-0.084280193,0.119472737,0.04840719,-0.046491188,0.122507641,0.051546709,-0.101489514,0.057036231,-0.014935845,0.213607736,0.025188098,0.144154168,-0.104573952,-0.047262586,0.258561675,-0.066385174,-0.168605951,0.087640939,0.087760956,0.073225274,-0.019566617,0.092093159,0.096889755,0.116346532,-0.024816589,-0.013694047,-0.045278944,0.15989772,0.046069078,-0.021267201,0.109883134,0.102348447,0.153305141,-0.13560125,-0.033815002,-0.161379079,-0.084067609,-0.012225546,-0.203051564,0.127188201,-0.056617085,-0.015281994,-0.058693711,-0.102217519,-0.088550026,-0.049577488,-0.0730416,-0.158410428,-0.003994516,0.001131702,0.047592774,-0.270729168,0.116345055,0.030231979,-0.136089056,0.011713105,-0.052721084,-0.158066067,0.003830727,0.013315918,-0.166303431,-0.164792938,0.017923178,-0.0205859,0.003589492,-0.078239701,0.132825506,0.166181781,-0.077031461,0.188469412,-0.090406426,-0.112033381,0.2532467,0.029356915,-0.046026041,-0.065602649,0.164164252,-0.086513003,-0.034050978,-0.022065032,0.076616663,0.137678586,0.087608209,-0.04773812,0.022124435,0.116587614,0.053227017,-0.043090232
26,AOC1,-0.600594076,-0.048561513,0.415680099,-0.156161143,0.223083846,-0.604489933,-0.05927099,-0.015637418,-0.222868577,-0.550865132,-0.265637713,-0.480954892,-0.215025097,0.085548359,0.382101692,-0.259812731,0.151284904,0.926293556,-0.612637695,-0.029255967,-0.167868705,-0.011542486,0.310883343,0.064865557,-0.723711584,-0.127851322,0.193253617,0.28462512,-0.744376804,-0.427873725,0.098816174,-0.382402427,-0.30309638,-0.468027365,-0.429355136,0.476743454,0.213372934,-0.172804214,0.522879487,-0.423743181,-0.134928892,-0.592722859,-0.147205795,0.271736496,0.06912962,-0.111685367,0.13679382,-0.420933626,-0.127773983,0.45390075,0.303727563,-0.356312582,0.013223117,0.239017961,0.376804474,0.256387568,-0.034420928,0.31636591,0.626044831,0.289409337,0.546562262,-0.18345559,-0.110425075,0.368527801,-0.976526833,-0.31153201,-0.154506995,0.504680723,0.199376789,-0.27209875,0.279025842,-0.066319221,-0.492212528,0.029131644,-0.445953216,0.102813031,0.268429141,0.111871649,0.557747724,0.575145777,0.643962731,-0.089183562,0.127451989,-0.261908409,-0.032072638,-0.025626977,0.300103112,-0.164828747,-0.571091832,0.28693853,0.040078478,0.723922958,-0.624724736,-0.510119519,0.379521018,-0.075446168,-0.031289116,0.330972552,-0.476312646,-0.781122838
6542,SLC7A2,-0.006004727,0.000771048,-0.00245741,-0.179473658,-0.049369244,0.091038214,0.079535508,-0.044144125,-0.007134104,0.114576296,-0.07399315,0.063921302,-0.057697683,-0.013132674,-0.007440067,-0.118477405,-0.192950209,0.00412297,0.02229718,0.051250221,-0.085291262,0.050253517,0.050707774,-0.014493272,-0.049605062,-0.078873628,-0.095806411,-0.004983816,0.063955606,-0.034656909,0.065644042,-0.038644844,-0.035011999,-0.032520196,0.063467569,-0.095504463,0.019928666,0.015150434,-0.136216938,-0.014846541,-0.007408981,0.044115922,0.082085979,-0.089171819,-0.042418384,-0.005125403,-0.075906528,0.076107725,0.059502681,-0.102953696,-0.031016315,0.054339986,-0.082735667,0.021615877,0.06086749,-0.069531978,0.221254148,0.037782231,0.02386639,0.017001889,-0.027104115,0.129482843,-0.181798857,-0.075314322,-0.04516386,0.118309207,-0.000693001,-0.061079404,0.151156555,-0.002283698,0.037386198,-0.141158486,-0.015793445,0.006195065,-0.058827185,0.096391944,-0.062408161,0.030256839,-0.078524315,-0.104631469,0.039885014,0.051551982,-0.084379549,-0.020196243,0.124492182,0.002846562,0.00941184,0.083466649,0.042616908,-0.013525136,-0.036960082,-0.021264114,-0.031144409,-0.126374862,0.15234782,0.01035138,0.031039925,0.078143465,0.07718966,-0.00092961
952,CD38,-0.117776599,-0.057877299,0.080052697,-0.099501231,0.009851529,0.060021508,-0.006125171,0.210652682,-0.026179849,0.130668311,0.04730079,0.031115524,-0.00867762,-0.075464537,0.033073006,0.062297666,-0.042909191,-0.021606133,0.036554517,0.223979296,0.037185543,-0.066796468,0.070382895,0.009227002,0.020827465,0.007823754,0.055038785,-0.228810953,0.160428708,0.120749248,0.138673458,-0.082024271,-0.135464526,-0.003537994,-0.014705447,0.04654097,-0.032912988,0.024452406,-0.043983728,0.126216494,-0.141350514,-0.087411545,0.194394883,0.042700506,0.052530562,-0.030968111,0.000809485,0.093568908,-0.066235927,-0.110422378,0.07218443,-0.206314323,0.060415253,-0.058733555,0.162799586,0.070225816,-0.080059099,0.045190795,0.154536119,-0.065391194,0.066178284,-0.135096041,-0.191296949,-0.062370532,0.025366683,-0.163787241,-0.077433606,0.155002856,-0.139636331,0.029540228,0.023404236,0.056815685,-0.033536682,-0.116795668,0.081485212,-0.134734401,0.119867849,0.032968949,-0.047764448,-0.106029484,-0.075466564,-0.080734223,0.192746197,0.141111049,0.358137655,0.155634512,0.04544652,0.12461569,0.023460738,0.063847759,0.052204391,0.015995141,-0.089780058,-0.003482383,0.063897148,0.009729324,0.149390923,-0.12638178,-0.17768448,-0.124907612
4706,NDUFAB1,-0.151902063,-0.005324077,0.09160428,-0.020444555,0.00739945,0.022466369,0.048363702,-0.045155102,-0.052336647,-0.040057029,-0.016576894,-0.064045547,-0.04038031,-0.010823306,-0.079738512,0.007253098,-0.077753577,0.068956197,-0.096791277,0.089767478,0.076203536,-0.033070534,0.021842283,-0.035255949,0.010690606,0.024206155,-0.023642366,-0.00804714,0.01556103,-0.005630992,-0.058214421,0.050974855,0.097822657,-0.031223493,0.043611181,-0.020621365,-0.098356644,0.053736469,0.013180034,0.045061288,0.007051946,-0.043191206,0.148319993,-0.141995431,-0.011525062,0.01275984,-0.071563976,0.011586222,0.062627765,-0.032762342,-0.020829231,-0.060521165,0.023123226,-0.040966699,-0.075700463,-0.000305133,0.003725499,-0.046247278,0.039243506,-0.035167177,-0.010272464,-0.119558241,0.00039636,-0.002474795,-0.003947948,0.020117827,0.058804963,-0.078658808,0.075480482,0.064875576,-0.016664131,-0.005447282,0.074585799,-0.031396251,0.010595491,0.039397788,-0.041115722,-0.031103817,0.107459543,0.107702149,0.079790107,-0.021584961,-0.091561019,-0.01047941,-0.021745976,0.035540796,0.105875591,0.011751853,-0.014556008,0.03933682,-0.020814037,-0.063835835,0.016138162,-0.03377734,0.051691129,0.075214428,-0.033447089,0.064342263,-0.012288452,0.04934312
6296,ACSM3,0.036047643,-0.046998816,0.045330215,0.031334051,-0.088879857,0.022193279,-0.054192487,-0.001876786,-0.061810257,-0.070627406,-0.008561178,-0.156634215,-0.015630219,0.091791476,0.053374528,0.150963408,0.103022858,0.140215083,0.03091893,-0.009936897,0.107722668,-0.05766849,0.059725998,-0.040427974,0.034297898,0.051924022,0.112233047,-0.064363359,0.035504577,0.072265324,0.075838636,0.069587489,0.068814333,0.055578952,-0.043585583,-0.085410743,0.010876532,-0.024624222,-0.085475048,-0.147654035,0.049433596,-0.116926816,-0.088703413,0.038721483,0.048253417,-0.008106009,0.070764865,-0.045117045,0.021268155,-0.034696431,0.006147901,0.109192381,0.182475473,0.110251411,0.019339053,0.095731132,-0.031506854,-0.031121393,0.078301604,-0.070926031,-0.075067094,0.11991385,-0.024019525,-0.066575095,0.037459141,0.086647481,-0.049991836,0.178680055,0.006792025,0.085068394,0.087805988,-0.05690956,-0.023686953,0.040237935,0.026817352,-0.043096249,0.05591286,0.026879478,0.071150077,-0.037369272,0.13450013,-0.075370289,0.1069567,0.090696833,0.038040868,-0.04567333,-0.053928252,0.015349019,0.076205214,-0.069869171,-0.02766705,0.062715583,-0.105542269,-0.044540386,0.132138066,0.020658889,-0.031195399,-0.063884621,0.04401693,0.057582129
