NCBI.gene..formerly.Entrezgene..ID,gene_symbol,Individual_1,Individual_2,Individual_3,Individual_4,Individual_5,Individual_6,Individual_7,Individual_8,Individual_9,Individual_10,Individual_11,Individual_12,Individual_13,Individual_14,Individual_15,Individual_16,Individual_17,Individual_18,Individual_19,Individual_20,Individual_21,Individual_22,Individual_23,Individual_24,Individual_25,Individual_26,Individual_27,Individual_28,Individual_29,Individual_30,Individual_31,Individual_32,Individual_33,Individual_34,Individual_35,Individual_36,Individual_37,Individual_38,Individual_39,Individual_40,Individual_41,Individual_42,Individual_43,Individual_44,Individual_45,Individual_46,Individual_47,Individual_48,Individual_49,Individual_50,Individual_51,Individual_52,Individual_53,Individual_54,Individual_55,Individual_56,Individual_57,Individual_58,Individual_59,Individual_60,Individual_61,Individual_62,Individual_63,Individual_64,Individual_65,Individual_66,Individual_67,Individual_68,Individual_69,Individual_70,Individual_71,Individual_72,Individual_73,Individual_74,Individual_75,Individual_76,Individual_77,Individual_78,Individual_79,Individual_80,Individual_81,Individual_82,Individual_83,Individual_84,Individual_85,Individual_86,Individual_87,Individual_88,Individual_89,Individual_90,Individual_91,Individual_92,Individual_93,Individual_94,Individual_95,Individual_96,Individual_97,Individual_98,Individual_99,Individual_100
26,AOC1,0.66992988,0.122245689,0.613193248,0.711872257,0.030322318,-0.456640645,0.313779143,-0.261934839,0.382097937,-0.566437342,-0.166889416,0.642705576,0.032876808,-0.340131295,-0.350183332,0.083331439,0.502234014,0.455158163,-0.181415604,0.360836903,-0.504139611,-0.428382357,0.75520711,-0.052471071,-0.764543727,0.167748613,0.015639476,-0.38534648,0.034979251,-0.352456224,0.025522765,0.158062421,0.316279637,0.306300589,-0.080005717,0.27088117,-0.230453133,-0.140720289,0.104687327,0.258283412,-0.166866851,0.903743623,-0.248997896,-0.156434274,-0.988587831,0.343537592,-0.04187456,0.387429874,-0.607246502,0.489909925,-0.040448528,-0.367111376,0.615135465,-0.192828076,0.314260613,-0.582400856,-0.683901072,0.138247773,-0.15605837,0.520008174,-0.355221784,0.118423708,0.041455782,0.968055184,-0.215720248,0.079041276,-0.292116164,-0.255660712,0.651191517,-0.233816347,-0.493383359,0.586284884,-0.251462264,0.550208655,-0.182121504,-0.152523865,-0.347298755,0.469151545,0.592000498,-0.073796387,-1.128533288,0.626950608,0.637468646,0.451534787,0.23454829,-0.24890305,0.267531445,-0.34627901,0.18888042,0.801658883,0.12543369,-0.008585274,0.125275495,-0.357075683,0.066660407,0.238961712,0.108464046,-0.039339888,0.936028752,0.414746003
952,CD38,0.00608432,-0.102265201,-0.015134438,-0.001555549,-0.057096208,0.057636658,0.380235701,-0.03196823,0.157700013,-0.082513557,-0.10006776,0.044379542,-0.062774816,-0.031444889,-0.113007714,0.174700304,-0.232498472,-0.120740354,0.07599196,-0.133805809,0.075125118,0.117333179,-0.095713098,-0.151851363,0.019030131,0.061720093,-0.043865974,-0.170543527,0.05087502,-0.02041702,-0.005775531,-0.00982147,-0.018139327,0.176527966,-0.074650345,-0.050032257,0.019588163,-0.08294717,-0.003146855,0.275926816,-0.017247565,-0.048471108,0.05894936,0.207035418,-0.11348318,0.074182553,0.004232213,0.05961126,-0.152655226,-0.105684018,-0.180274944,-0.016849054,0.006763065,0.061147286,-0.078992722,-0.019059058,-0.133960222,-0.053599278,-0.035135261,-0.156731778,-0.165606239,0.012939004,0.047166748,0.021853681,-0.028192126,-0.045688888,-0.018058869,-0.141351479,-0.051713013,0.040115624,0.017651149,-0.055000535,-0.026887974,0.16931742,0.114011273,-0.116754942,-0.117681713,0.041832363,0.03832796,-0.228681328,-0.04236703,0.075683625,-0.03141146,-0.033485083,0.062657144,0.027703525,-0.116562865,-0.164167817,-0.097131873,0.011449732,0.03657588,0.099563979,0.100937616,-0.194758931,0.068182782,-0.014255028,-0.039774851,0.481660246,-0.135140406,0.050668085
2328,FMO3,-0.073910343,-0.081166255,-0.092683868,0.074409893,0.13671676,0.107011871,-0.004359575,-0.082377974,-0.005217429,0.117476765,0.011635724,0.148239732,0.120211238,-0.055333025,0.007754655,0.069856142,-0.053966544,0.188354015,-0.037114875,0.106521905,-0.072173748,0.02755989,-0.041440508,-0.111730175,-0.069064014,0.00140734,0.064232235,0.046231675,-0.002700845,0.036805176,-0.039777301,0.102792327,-0.059692462,0.123248906,-0.006321072,-0.055371666,-0.053649748,0.023140866,-0.039603356,-0.020927765,-0.043823859,-0.093907191,-0.072374896,-0.048812549,0.034813581,0.234206398,0.031990396,0.014349437,-0.091632675,0.100388162,0.118439611,0.049593532,-0.094127753,-0.066898755,-0.082636266,0.019448477,0.123187525,-0.057442352,-0.095335096,0.043328469,-0.150421836,0.153867726,0.080460161,0.071424152,0.012194995,-0.065458134,-0.149339202,-0.076265324,-0.055030698,-0.098391254,0.034756865,-0.011573308,-0.11569517,0.076054702,0.052891543,0.065884633,0.03148594,-0.103890283,0.166268496,-0.008388376,-0.076117692,0.113737908,-0.087522667,0.075483925,0.029603271,-0.052519697,0.019645733,-0.037548236,0.012079765,-0.237880059,-0.107705133,-0.069432775,-0.056389114,0.142372476,0.071815986,-0.052424503,-0.067926879,-0.03904593,-0.064654618,-0.076504404
6540,SLC6A13,-0.235417863,0.168993417,-0.238935614,-0.235258971,-0.235289058,0.052812709,0.305667148,0.10312216,-0.006692057,-0.080852671,-0.202818005,0.017663555,0.052908038,0.030385889,0.004114707,-0.110220396,-0.146515984,-0.049330577,-0.119388757,-0.044954363,0.238353527,-0.172990728,0.013052237,0.095794004,-0.021153442,0.196084741,0.069369111,-0.062248011,-0.053763806,-0.04584574,0.182274361,-0.027105999,0.044035803,-0.0404857,0.026697924,0.180250172,-0.166987602,-0.011850276,0.216112362,0.088921454,-0.240837998,0.282216688,-0.114818789,0.177556881,0.023488818,0.050823405,-0.050725814,0.006666744,-0.085671722,-0.119354788,-0.033729942,-0.037750544,-0.011233269,0.296809434,-0.007670245,0.101177925,-0.088238993,0.076727341,0.019999369,-0.158172587,-0.080949061,-0.266590513,0.01878529,-0.006378327,0.098128753,-0.043781808,0.02638242,0.184584796,0.127643735,0.240859553,-0.141360183,-0.139080262,0.198172442,-0.100960037,0.014175254,-0.158984078,-0.013502395,0.050171848,-0.016871139,-0.263018645,-0.017684415,0.057379956,-0.108359366,0.050292053,0.024490401,-0.056666117,-0.293127859,0.070117736,0.039677426,-0.031691569,-0.147982575,0.208868781,-0.0273773,0.050524724,0.102860359,-0.025896649,-0.09862726,-0.138456462,-0.176050544,-0.110536564
64132,XYLT2,-0.094309471,-0.20095959,-0.00555982,0.042716251,-0.125104695,-0.117283314,0.047289957,0.024141135,-0.082146617,0.008641442,-0.015585026,0.007846931,-0.038482553,0.029482,-0.049678328,-0.003163464,0.069812272,0.005344281,-0.041996433,-0.093184959,0.016732742,0.012660609,0.251553063,-0.007898553,0.102185941,-0.088507991,0.09146864,-0.011349813,0.006970837,-0.100707921,0.041308843,0.093085687,-0.050067553,-0.000201506,-0.011395549,0.002229872,-0.086690648,-0.243440326,0.033149596,0.049566011,-0.056308041,-0.008667079,-0.054276121,-0.000716739,-0.016143255,0.054368093,-0.005241943,-0.043326068,0.016847358,-0.006138975,0.025032149,0.024427932,-0.056640101,0.082336173,-0.017580279,-0.08559811,-0.064645951,-0.1714255,-0.004136188,0.14182463,0.072386535,-0.037955534,-0.113198879,0.002899396,-0.022034334,-0.063954006,-0.101641089,0.080825078,-0.011932087,-0.097331806,-0.082724909,-0.007323321,-0.048827196,0.102816148,0.028392913,-0.082105874,-0.037878985,0.032152189,-0.063384799,0.042494168,-0.101191166,-0.087619486,0.135911483,0.008998885,0.119553057,0.001095127,-0.021547957,0.041912571,-0.019417261,0.007240827,0.070803984,0.0687161,0.083704622,0.010704111,-0.034661999,0.159032663,-0.043974308,-0.000795449,0.109324975,-0.084874065
10928,RALBP1,-0.110202011,-0.001271311,-0.028112728,-0.066076101,-0.020384834,-0.002642048,-0.00792923,0.089657316,-0.010402247,-0.185654372,-0.024143805,-0.00672055,-0.0612683,0.008810294,0.029039973,-0.106756235,0.050829219,0.030166758,-0.107297449,-0.105608805,0.005204062,-0.052615467,0.115814532,0.160658481,0.047932258,0.058566453,0.196165533,-0.019508376,0.028179903,-0.000225688,-0.06324407,0.071924447,-0.024415011,0.04650829,0.144276723,-0.06811291,-0.056469897,-0.022658492,-0.097715744,-0.180040881,0.009205465,-0.005452575,-0.192139644,-0.020151423,-0.122106492,-0.066711421,0.198218248,0.154976986,0.009775134,0.009000735,0.035423629,-0.003619054,-0.159194157,-0.067330582,0.072347989,-0.050876326,0.031854411,-0.004183027,0.048948964,0.055794758,0.035856613,-0.001320116,0.048948286,0.022533971,-0.078236403,-0.043337476,-0.115439309,0.009222974,-0.084863032,-0.016526941,0.025100737,-0.127123835,0.014715825,-0.079230892,0.027371506,0.042493984,0.247208122,0.000569502,0.017744685,0.037420498,0.01763714,0.099571175,-0.082483342,-0.057146936,-0.028535052,-0.007968904,0.077286209,-0.049829496,0.101839772,0.213610844,-0.037655034,0.017812692,0.033353011,0.013699262,-0.070474513,0.067819977,0.019494958,0.01827826,0.113555395,0.028553975
11136,SLC7A9,0.091357134,0.06701745,0.066047004,0.020767035,-0.057746659,-0.027954425,-0.062849082,0.035163083,-0.002139623,-0.054149063,0.084761933,-0.00318859,-0.007844256,-0.097412636,0.084400935,0.094597051,-0.026226151,0.112900868,0.056144985,-0.029555299,-0.02959304,-0.102552495,-0.099143581,0.028712883,0.03218835,0.07606767,-0.045813808,0.117768268,-0.132834319,-0.059906815,0.046533598,-0.025714364,0.050851189,0.020178769,-0.087492278,-0.073907726,-0.100428441,-0.066239514,-0.069532727,-0.111654876,0.087522829,-0.042789171,0.027772399,0.028937878,0.005892183,0.12745868,-0.102586034,0.054016451,-0.003277437,0.048399747,-0.007710745,0.074130796,-0.052636258,0.06037302,0.127281872,0.036189657,-0.015310321,0.007135812,-0.062136257,0.094494559,-0.003972731,-0.11394646,0.051533099,-0.141714248,0.011819376,-0.021072942,0.040574486,0.011028,-0.087248127,-0.066280366,0.100262143,0.073859764,0.032214279,0.035505772,-0.111805536,-0.135000119,0.092196438,-0.134783369,-0.124722745,-0.060561033,0.048779985,0.112501972,-0.135674836,-0.03750707,0.048576115,-0.032305772,-0.003227342,-0.023812756,0.013132279,0.03504424,0.042849129,0.084343627,-0.109206052,-0.143855828,-0.060559528,-0.028216266,-0.132520042,-0.111799476,0.059264506,-0.12227148
1890,TYMP,0.058695162,0.070803872,-0.045797153,-0.057789554,-0.031839861,-0.010104995,-0.049942075,0.054069945,0.056439804,0.043087308,0.145420988,0.001259173,-0.002933035,0.03381044,0.007661217,0.013361487,0.022051099,-0.03429187,-0.031884692,0.054380229,-0.044548178,-0.130833413,0.03107603,-0.005643388,-0.044697699,-0.114504931,-0.051255051,-0.007024708,0.167006597,0.029120997,-0.034535655,0.029564079,-0.112968305,-0.019406487,-0.058503271,-0.163809181,0.041230803,0.040032043,0.026514651,0.108509164,-0.102635941,0.069489316,0.016691588,0.021980462,0.025115899,0.035042917,-0.009030358,0.085964302,0.030177423,0.02276487,0.027725924,0.067504922,0.023207345,0.07105583,0.131724106,-0.083428897,0.057220188,0.089136842,-0.070425863,-0.039885,-0.07068277,-0.06425542,-0.078353557,0.001190142,0.073120335,0.036270942,-0.062088174,0.005038045,0.091984733,0.133043143,0.087283862,0.01666493,-0.062845084,-6.06E-05,0.085422272,-0.010815426,-0.060150538,0.09745693,-0.082646493,0.058810888,-0.008577555,-0.093687602,-0.08094867,-0.085341291,0.056283173,-0.091414529,0.030780895,-0.002932583,-0.024050131,0.0590159,-0.061848863,0.019907155,-0.050065994,0.020547747,-0.041130325,0.010781993,0.024874674,-0.011555165,0.0455666,0.039013652
11285,B4GALT7,0.040443941,-0.12724752,-0.046778748,-0.035819655,-0.051720078,0.014054918,-0.011868718,0.01487728,-0.181105106,0.036863547,-0.046807226,-0.031721672,0.019302404,0.137483798,0.009428089,0.069998013,-0.16792058,-0.011372826,-0.074217362,0.068336431,0.030159152,0.032949603,-0.054238059,-0.00968451,-0.02233219,0.024116559,0.01710489,0.019115263,0.075663137,-0.092329039,-0.143382869,0.077391293,0.096996958,-0.064091566,0.001311706,0.003538183,0.066502753,-0.050432461,-0.209988933,-0.076185763,-0.003521102,-0.08145325,0.097292351,-0.02836315,-0.041842421,-0.070742569,0.093060828,-0.063875129,0.07299642,-0.003852081,-0.094471664,0.029287205,-0.050863955,0.118969043,0.018142261,0.126361358,-0.089671772,-0.003489942,0.100654592,0.050295278,0.019084428,-0.057507145,-0.008910752,0.044443644,-0.109077709,0.231032829,0.009562722,-0.008854349,0.041344105,-0.073210076,0.010412793,-0.001429281,0.091942864,0.12337832,0.093421757,-0.099631212,-0.016893757,-0.083650825,-0.037040395,0.050333546,0.00297864,-0.080720214,-0.072692645,0.087106094,0.092803159,0.011176944,0.022245963,-0.011619665,-0.020096033,-0.17555417,0.008252657,-0.081449098,-0.052320069,-0.08142908,-0.130933811,0.127409174,-0.016638563,0.064783447,0.098949694,0.109859298
9497,SLC4A7,-0.160345612,-0.037831454,-0.004202578,-0.208912983,-0.286952371,0.004634785,0.124056208,-0.233839357,0.150171249,0.097466951,-0.148385229,-0.153668333,0.093201207,0.236453234,0.053798681,-0.130212304,-0.02635494,0.116534919,0.028822929,0.053040313,0.122105026,-0.066658171,-0.233624399,-0.043339277,0.042462801,-0.147462384,-0.092600145,0.181024177,0.036616312,-0.16015624,-0.080947577,-0.217825561,-0.101741716,-0.085562032,-0.130390983,0.191623113,-0.071204624,0.038421372,-0.098033043,-0.239357522,0.157524545,-0.240039107,0.009087838,-0.123694949,0.176510856,0.084026144,-0.084282582,-0.028638003,0.231129002,-0.065464206,0.016349541,0.142806897,0.073212011,0.166324891,0.03695304,-0.048261756,-0.019761454,-0.0754842,0.147141082,-0.101293195,0.13355076,0.069529827,0.090568585,0.036879629,0.105150975,0.058413868,-0.026328875,-0.225791561,-0.077233189,0.057571572,0.038878278,-0.010450511,0.08344755,0.033482334,0.033709022,0.011001353,-0.09493922,-0.097823408,-0.018968865,0.179953076,-0.032865807,0.114798193,0.001618062,0.047045571,0.163159929,-0.079700283,0.267130639,0.012211669,-0.056470183,0.209024135,-0.102691584,0.003684601,0.239192567,-0.156729646,0.047873178,-0.209371538,0.169856876,-0.297862773,0.042838978,-0.151265687
