gene_id,Adipose_Aggregate,Brain_Aggregate,Heart_Aggregate,Liver,Muscle_Skeletal
ENSG00000223972,0.006489487,0.010534445,0.007840605,0.009827934,0.008353565
ENSG00000227232,4.123464573,2.751598961,1.415163408,1.94230531,1.66335193
ENSG00000278267,0.018358554,0.009542193,0.013634805,0.006349558,0.009070735
ENSG00000243485,0.017605546,0.033563757,0.026314735,0.024817619,0.021895592
ENSG00000237613,0.006839721,0.010768704,0.010998469,0.009092385,0.009237222
ENSG00000268020,0.039302395,0.069787233,0.069198118,0.052716593,0.053789626
ENSG00000240361,0.05514155,0.094673144,0.096054768,0.077504425,0.079223375
ENSG00000186092,0.071074752,0.144675576,0.171457798,0.122413938,0.111833848
ENSG00000238009,0.03518229,0.038236558,0.024093527,0.030188783,0.023229756
ENSG00000233750,0.043999683,0.030433082,0.018313595,0.031402757,0.009836171
ENSG00000268903,5.532562185,2.31946221,1.900309578,4.334837168,0.419620187
ENSG00000269981,8.472920962,2.801085745,3.093611777,6.122034513,0.797609639
ENSG00000239906,0.285254622,0.065448171,0.069680982,0.163060708,0.025789352
ENSG00000241860,0.191766331,0.112754188,0.080811146,0.06589992,0.064158562
ENSG00000222623,0.003498389,0.000499697,0.00076794,0.00159292,0
ENSG00000241599,0.001570041,0.002193916,0.002657561,0.003645354,0.002044633
ENSG00000279928,0.114887091,0.109945554,0.079774665,0.094493584,0.098777597
ENSG00000279457,7.046901937,5.745544611,2.52518919,3.327716814,3.311107098
ENSG00000273874,0.01030805,0.004815817,0.002562407,0,0.005401743
ENSG00000228463,0.969413563,0.645789421,0.297191248,0.225824292,0.310379239
ENSG00000236679,0.093719889,0.105181542,0.064038554,0.034701504,0.041284994
ENSG00000236743,0.005110062,0.003034858,0.001786434,0.001754956,0.002041258
ENSG00000236601,0.024295503,0.041218484,0.04024402,0.033786947,0.034233786
ENSG00000237094,0.233334655,0.22439383,0.118457231,0.098162969,0.11912259
ENSG00000269732,0.090965077,0.16449307,0.173784847,0.112508407,0.130050025
ENSG00000278566,0.0508974,0.085158028,0.090677307,0.067715575,0.071331993
ENSG00000233653,0.015126772,0.016327295,0.015257261,0.01062808,0.014170346
ENSG00000250575,0.040414224,0.025696857,0.019928606,0.026865796,0.015859539
ENSG00000278757,0.006481939,0.000576253,0.001162948,0,0.000507721
ENSG00000230021,0.044957594,0.059272271,0.03502603,0.042432774,0.03754967
ENSG00000235146,0.005457785,0.011727244,0.01013614,0.002732478,0.008846588
ENSG00000225972,339.4690773,321.2435632,503.8542035,196.1252434,401.9739651
ENSG00000225630,1123.410237,1414.327004,1435.838002,852.9639956,937.9122366
ENSG00000237973,108.8188213,230.7645728,370.9060934,237.158854,230.5116314
ENSG00000229344,26.16661926,55.45909376,53.39034422,37.76141593,37.22156164
ENSG00000240409,21.62752476,32.19723427,43.67061409,32.0774292,30.1904259
ENSG00000248527,3637.914112,6164.301505,7855.316407,5547.301814,4993.699751
ENSG00000198744,50.45440015,103.0986516,139.9329707,64.62968142,73.8562391
ENSG00000268663,0.050047534,0.086721314,0.094502039,0.093177168,0.070543176
ENSG00000273547,0.038750703,0.061817246,0.06281542,0.047897478,0.05453467
ENSG00000283574,0,0,0,0,0
ENSG00000229376,0.134157685,0.190858709,0.146892823,0.196352522,0.13066112
ENSG00000228327,2.535164508,0.998836283,0.845685679,1.285311062,0.805688879
ENSG00000223181,0.028576073,0.046939407,0.043868616,0.033651062,0.037251059
ENSG00000229905,0.0539642,0.077211539,0.09190083,0.078252168,0.068573051
ENSG00000237491,0.53531135,0.840797227,0.295705697,0.438036726,0.309775517
ENSG00000230092,1.305884695,0.59093162,0.482054826,0.462604381,0.778038555
ENSG00000177757,1.516640933,0.487648878,0.337817794,0.160873451,0.295039191
ENSG00000228794,8.50705646,7.348946973,14.08679811,4.203097345,12.41693773
ENSG00000225880,4.461453888,3.749599232,2.469161405,3.054673451,2.162816563
ENSG00000230368,0.089801365,0.215501818,0.1458395,0.074972695,0.290229402
ENSG00000234711,0.089092136,0.165694143,0.17920424,0.097957788,0.157625367
ENSG00000283040,0.043788437,0.072419744,0.06789268,0.057820885,0.067919801
ENSG00000272438,0.214622811,0.398483105,0.415614307,0.239028009,0.0750866
ENSG00000230699,0.172257807,0.230151101,0.353333954,0.186480044,0.075006823
ENSG00000241180,0.002718115,0.014526903,0.013840331,0.005750885,0.014026276
ENSG00000223764,1.984522197,1.003929392,3.321830554,1.859810619,0.270442802
ENSG00000187634,2.669762878,1.519726369,4.405589273,2.069460177,0.525074795
ENSG00000188976,52.36039709,35.40396001,27.36592324,30.22740265,63.6260274
ENSG00000187961,10.19540846,8.615791296,4.151723032,6.197336283,2.533190286
ENSG00000187583,0.769186971,0.169191145,0.301055042,0.811557257,0.599506488
ENSG00000187642,0.537997335,0.185733023,48.29293028,0.413614779,134.5657024
ENSG00000272512,5.71044352,3.245620966,5.281904437,1.023481239,2.203930199
ENSG00000188290,28.27199916,20.62254357,29.92218209,4.693287168,6.264795517
ENSG00000187608,50.0226942,46.25816207,21.7207662,53.91154425,8.25056538
ENSG00000231702,0.207979277,0.1397957,0.277950674,0.075688142,0.125472067
ENSG00000224969,0.340709215,0.465213628,0.374459696,0.175941814,0.197747435
ENSG00000188157,22.97434936,19.86074808,9.077252349,14.42248673,2.752259402
ENSG00000217801,0.435859722,1.827292866,0.252980934,1.173212965,0.116447654
ENSG00000273443,0.124157772,0.308288692,0.106724079,0.432343142,0.073353798
ENSG00000237330,0.073259161,0.091606302,0.088304708,0.068895708,0.082164883
ENSG00000131591,8.107427275,7.532753772,2.763746258,4.309199115,1.5563066
ENSG00000223823,0.098937562,0.110375558,0.106390538,0.110782611,0.088652758
ENSG00000207730,0.067133489,0.066485358,0.07406608,0.069235752,0.060298132
ENSG00000207607,0.07197592,0.051528513,0.041616353,0.051670885,0.04443188
ENSG00000198976,0.061642468,0.073165199,0.069239562,0.101914159,0.063457285
ENSG00000272141,0.297277182,0.114081995,0.09488118,0.945952345,0.083791831
ENSG00000205231,1.075964019,0.127283041,0.077395585,0.05166231,0.103981548
ENSG00000162571,1.682380937,0.25959668,0.151503488,0.089440832,0.219287659
ENSG00000186891,2.533882817,2.144647433,0.377395746,0.566326814,0.298197484
ENSG00000186827,14.95501431,0.967003602,5.171585288,0.736175221,2.135328257
ENSG00000078808,141.2195985,75.27037943,92.98863594,110.7521239,59.58804483
ENSG00000176022,15.15733254,12.62311138,7.355836679,10.04986283,7.988871731
ENSG00000184163,3.167959527,1.330303368,0.806590761,1.349410177,0.768997796
ENSG00000260179,0.625862204,0.590414854,0.340170628,0.767488628,0.387954147
ENSG00000160087,23.36936292,17.12041546,11.33653855,14.5084115,16.23465006
ENSG00000230415,3.606170139,6.878858723,1.772896177,2.526111504,1.341309875
ENSG00000162572,6.917952957,16.75956367,3.164503606,6.671945575,2.125457161
ENSG00000131584,43.43196345,154.8993279,29.99846884,21.14598673,22.70054047
ENSG00000278073,0.039448286,0.072983779,0.061504925,0.050676106,0.056675965
ENSG00000169972,12.85351492,10.10578717,7.167466758,9.280707965,6.190549191
ENSG00000127054,46.93455896,41.07752851,23.83829313,22.09731858,37.77942715
ENSG00000283712,0.055150362,0.086943188,0.06280179,0.047431858,0.05733213
ENSG00000240731,18.71172976,17.41703886,8.598284465,6.473495575,12.29392154
ENSG00000224051,24.31338374,18.28397355,35.82153519,41.67292035,25.12129016
ENSG00000169962,0.58609646,0.744753782,0.850001886,0.894863584,0.969988792
ENSG00000107404,57.14451311,72.06237955,42.09590983,37.42212389,155.6116314
ENSG00000284372,0.028858886,0.034316999,0.047944674,0.037731416,0.031726152
ENSG00000162576,178.160843,12.36282981,38.01214499,8.57679646,18.76510834
ENSG00000175756,82.54090891,74.38238797,82.1923631,76.22933628,107.4618431
ENSG00000223663,0.264857543,0.418153731,0.219568341,0.406964513,0.192459465
ENSG00000221978,177.124854,88.22535457,58.7799631,122.8740708,50.78525529
ENSG00000224870,12.40444687,13.84202334,6.597545293,20.27757522,5.858985056
ENSG00000242485,72.09527058,52.235151,50.67224185,41.57100885,80.58384807
ENSG00000272455,2.701740175,6.017673883,1.633483654,3.282713274,2.284947696
ENSG00000235098,7.635874561,19.17429499,2.121619674,0.766149823,1.265789029
ENSG00000225905,1.401129796,3.371370774,0.388795983,0.188098982,0.260701731
ENSG00000205116,0.174705071,18.74348946,0.210905528,0.160971416,0.150827397
ENSG00000225285,2.792015446,0.880120366,0.685653854,1.954399558,0.303709875
ENSG00000179403,26.49012959,21.04221045,11.26119029,39.73441593,2.92911594
ENSG00000215915,1.60353648,2.365750945,0.663930276,3.708869469,0.130891509
ENSG00000160072,23.94180497,15.01570475,9.318963507,16.0930177,8.282249066
ENSG00000197785,16.44049304,10.43325225,10.32854248,15.00876106,17.70511457
ENSG00000205090,3.512119739,23.11792097,2.724428828,0.514324779,1.408917559
ENSG00000160075,49.63906379,37.19750728,24.64312761,27.11619469,52.55511831
ENSG00000215014,0.989231815,1.646437328,0.282724333,0.626461062,0.50828609
ENSG00000274481,0.060715615,0.090573609,0.099054318,0.065532832,0.077019938
ENSG00000228594,2.148004611,19.61289034,1.637975368,0.500354823,0.325519925
ENSG00000272106,7.702099003,28.71448183,6.185365455,4.177641593,15.49431258
ENSG00000197530,26.23974974,33.25950988,21.04187847,15.80234956,46.42569116
ENSG00000189409,1.042255525,0.178803721,1.153937354,0.286741549,0.064229888
ENSG00000248333,28.24340969,20.46517786,13.48143702,11.45526106,36.36978705
ENSG00000272004,0.116833643,0.067174757,0.032644967,0.072519912,0.040921395
ENSG00000189339,21.90581305,18.00443412,7.820187103,10.12413274,11.3082142
ENSG00000269737,3.13758383,1.326174942,1.000213635,0.898928761,0.798103798
ENSG00000215914,0.730316082,0.266384077,0.197687996,0.73900031,0.048065019
ENSG00000008128,21.5116142,11.37529585,7.308215329,11.26611504,11.26598144
ENSG00000227775,6.235367111,5.61295016,2.40204881,2.215139823,2.817366127
ENSG00000215790,3.926461332,3.536826406,1.316963509,1.281788938,1.865880324
ENSG00000008130,56.64406535,12.96449944,13.43392198,54.0319469,10.6010411
ENSG00000078369,211.5443556,245.0242469,68.51994867,55.30053097,35.6732005
ENSG00000231050,0.94932204,1.898274574,0.351420614,0.335167345,1.427103674
ENSG00000169885,1.201777225,1.276102633,0.225857018,1.962619469,17.14619415
